Detected configuration: Linux / .Net
[0] Vertex Count: 19740, Index Count: 28680, Meshing time: 11.6368ms
[1] Vertex Count: 15420, Index Count: 22062, Meshing time: 6.0649ms
[2] Vertex Count: 16772, Index Count: 23964, Meshing time: 6.1201ms
[3] Vertex Count: 19004, Index Count: 27288, Meshing time: 6.2101ms
[4] Vertex Count: 16740, Index Count: 23892, Meshing time: 6.105ms
[5] Vertex Count: 17720, Index Count: 25548, Meshing time: 6.3282ms
[6] Vertex Count: 16836, Index Count: 24216, Meshing time: 6.2151ms
[7] Vertex Count: 19236, Index Count: 27684, Meshing time: 5.1422ms
[8] Vertex Count: 10936, Index Count: 15600, Meshing time: 3.0281ms
[9] Vertex Count: 13204, Index Count: 18732, Meshing time: 5.3885ms
[10] Vertex Count: 11964, Index Count: 17112, Meshing time: 4.0389ms
[11] Vertex Count: 8580, Index Count: 12288, Meshing time: 3.0097ms
[12] Vertex Count: 4464, Index Count: 6288, Meshing time: 2.1475ms
[13] Vertex Count: 8580, Index Count: 12288, Meshing time: 2.6167ms
[14] Vertex Count: 13832, Index Count: 19788, Meshing time: 4.8666ms
[15] Vertex Count: 12664, Index Count: 18078, Meshing time: 4.4026ms
[16] Vertex Count: 4356, Index Count: 6144, Meshing time: 2.151ms
[17] Vertex Count: 8580, Index Count: 12288, Meshing time: 2.6679ms
[18] Vertex Count: 15712, Index Count: 22428, Meshing time: 5.667ms
[19] Vertex Count: 4940, Index Count: 6816, Meshing time: 2.2469ms
[20] Vertex Count: 8580, Index Count: 12288, Meshing time: 2.5912ms
[21] Vertex Count: 10708, Index Count: 15066, Meshing time: 5.5555ms
[22] Vertex Count: 12692, Index Count: 18036, Meshing time: 3.8838ms
[23] Vertex Count: 8580, Index Count: 12288, Meshing time: 2.5834ms
[24] Vertex Count: 13964, Index Count: 19842, Meshing time: 5.9428ms
[25] Vertex Count: 11872, Index Count: 16980, Meshing time: 3.3768ms
[26] Vertex Count: 12668, Index Count: 18120, Meshing time: 3.8169ms
[27] Vertex Count: 11976, Index Count: 16860, Meshing time: 5.3421ms
[28] Vertex Count: 15988, Index Count: 22944, Meshing time: 5.5516ms
[29] Vertex Count: 8612, Index Count: 12306, Meshing time: 2.6492ms
[30] Vertex Count: 11904, Index Count: 16968, Meshing time: 3.717ms
[31] Vertex Count: 8580, Index Count: 12288, Meshing time: 2.5779ms
[32] Vertex Count: 15220, Index Count: 21696, Meshing time: 6.3903ms
[33] Vertex Count: 8868, Index Count: 12462, Meshing time: 6.2343ms
[34] Vertex Count: 10160, Index Count: 14274, Meshing time: 5.3929ms
[35] Vertex Count: 18728, Index Count: 26754, Meshing time: 5.1795ms
[36] Vertex Count: 4680, Index Count: 6474, Meshing time: 2.1695ms
[37] Vertex Count: 8580, Index Count: 12288, Meshing time: 2.9613ms
[38] Vertex Count: 18388, Index Count: 26586, Meshing time: 5.7235ms
[39] Vertex Count: 9988, Index Count: 14100, Meshing time: 2.7421ms
[40] Vertex Count: 12676, Index Count: 18432, Meshing time: 3.0137ms
[41] Vertex Count: 10172, Index Count: 14220, Meshing time: 5.3913ms
[42] Vertex Count: 12364, Index Count: 17646, Meshing time: 5.5281ms
[43] Vertex Count: 4752, Index Count: 6822, Meshing time: 11.2254ms
[44] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.7688ms
[45] Vertex Count: 8712, Index Count: 12480, Meshing time: 5.118ms
[46] Vertex Count: 8712, Index Count: 12480, Meshing time: 5.0603ms
[47] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.7572ms
[48] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.6555ms
[49] Vertex Count: 8712, Index Count: 12480, Meshing time: 5.2289ms
[50] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.5261ms
[51] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.5021ms
[52] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.5038ms
[53] Vertex Count: 8712, Index Count: 12480, Meshing time: 4.5094ms
[54] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.1081ms
[55] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4623ms
[56] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.814ms
[57] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6376ms
[58] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6436ms
[59] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.657ms
[60] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6123ms
[61] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7043ms
[62] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6684ms
[63] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.9202ms
[64] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6577ms
[65] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6294ms
[66] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.33ms
[67] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6351ms
[68] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6742ms
[69] Vertex Count: 8712, Index Count: 12288, Meshing time: 5.6919ms
[70] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6174ms
[71] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7843ms
[72] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.545ms
[73] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6748ms
[74] Vertex Count: 8712, Index Count: 12288, Meshing time: 5.0796ms
[75] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5892ms
[76] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7493ms
[77] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6157ms
[78] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.3523ms
[79] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6143ms
[80] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6788ms
[81] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7723ms
[82] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.9296ms
[83] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5739ms
[84] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6146ms
[85] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6473ms
[86] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6388ms
[87] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5924ms
[88] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6636ms
[89] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.9224ms
[90] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.213ms
[91] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6003ms
[92] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7741ms
[93] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6302ms
[94] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6104ms
[95] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.9714ms
[96] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6385ms
[97] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6949ms
[98] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6566ms
[99] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6072ms
[100] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6004ms
[101] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.686ms
[102] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.5152ms
[103] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4997ms
[104] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5112ms
[105] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4901ms
[106] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6947ms
[107] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5297ms
[108] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6801ms
[109] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6603ms
[110] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5986ms
[111] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8646ms
[112] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.622ms
[113] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7405ms
[114] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.3049ms
[115] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8901ms
[116] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6028ms
[117] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5971ms
[118] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.604ms
[119] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5947ms
[120] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6421ms
[121] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7415ms
[122] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8374ms
[123] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5947ms
[124] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.9621ms
[125] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.527ms
[126] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.1443ms
[127] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4912ms
[128] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8651ms
[129] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4968ms
[130] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4965ms
[131] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6464ms
[132] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6086ms
[133] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6494ms
[134] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.722ms
[135] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7363ms
[136] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4582ms
[137] Vertex Count: 9644, Index Count: 13542, Meshing time: 4.5433ms
[138] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.1191ms
[139] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4589ms
[140] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4579ms
[141] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8257ms
[142] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5707ms
[143] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5429ms
[144] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7166ms
[145] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6722ms
[146] Vertex Count: 8712, Index Count: 12288, Meshing time: 5.0401ms
[147] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5502ms
[148] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.7987ms
[149] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.1196ms
[150] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.4538ms
[151] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.5315ms
[152] Vertex Count: 8712, Index Count: 12288, Meshing time: 7.7704ms
[153] Vertex Count: 8712, Index Count: 12288, Meshing time: 7.5066ms
[154] Vertex Count: 8712, Index Count: 12288, Meshing time: 6.085ms
[155] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.8969ms
[156] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6361ms
[157] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6019ms
[158] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6446ms
[159] Vertex Count: 4752, Index Count: 6720, Meshing time: 4.6182ms
[160] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6226ms
[161] Vertex Count: 8712, Index Count: 12288, Meshing time: 5.6028ms
[162] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6396ms
[163] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6366ms
[164] Vertex Count: 8712, Index Count: 12288, Meshing time: 4.6298ms
